,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Deoxidation,,,,,,,,,,,,,
,,,,,,,,,,,,,,Furnace,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Furmace
,,,,,,,,,,,,,,Aluminium,Aluminium,Hypercal,Fe-Se,Ca-Si-Mn,Fe-Si-Zr,Fe-Ti7O,Fe-B,Aluminium,Mg-Fe-Si,Barinoc,Superseed,Fe-Ti7O,Iron Pyrite
Description,Code,C_Aim,Si_Aim,Mn_Aim,S_Aim,P_Aim,Cr_Aim,Ni_Aim,Mo_Aim,Cu_Aim,Al_Aim,V_Aim,Check,FA1240,FA1240,FA1364,FA1365,FA1190,FA1210,FA1180,FA1160,FA1240,FA1011,FA1070,FA1197,FA1180,
L2C,001,0.8,0.5,0.8,0,0,2.1,0,0.3,0,0,0,0,0.025,0.015,0,0,0.176,0.12,0,0,0,0,0,0,0,0
,002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT003,003,0.28,0.3,0.8,0,0,1,0.9,0.3,0,0,0,0.025,0.03,0.02,0,0,0.15,0.12,0,0,0,0,0,0,0,0
GS42CrMo4V,004,0.4,0.4,0.85,0,0,0.95,0,0.25,0,0,0,0,0.044,0.05,0,0,0.13,0.12,0,0,0,0,0,0,0,0
CT005,005,0.28,0.5,1,0,0,0.5,1.75,0.4,0,0,0,0.03,0.04,0.04,0,0,0.1,0.12,0,0,0,0,0,0,0,0
BA327,006,0.27,0.45,0.95,0,0,0.5,1.7,0.37,0,0,0,0.03,0.03,0.018,0,0,0.1,0.12,0,0,0,0,0,0,0,0
WC9,007,0.1,0.45,0.55,0,0,2.2,0,1,0,0,0,0.03,0.023,0.02,0,0,0.13,0.12,0,0,0,0,0,0,0,0
HC 86-30,008,0.31,0.35,0.85,0,0,0.55,0.65,0.2,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
13C,009,0.13,0.4,0.3,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0,0.13,0.12,0,0,0,0,0,0,0,0
15C,010,0.17,0.4,0.95,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0.13,0.12,0,0,0,0,0,0,0,0
20C,011,0.21,0.4,0.75,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0,0.176,0.12,0,0,0,0,0,0,0,0
20C Mn,012,0.22,0.4,1.4,0,0,0,0,0,0,0,0,0,0.036,0.034,0,0,0.13,0.12,0,0,0,0,0,0,0,0
23C,013,0.22,0.4,0.85,0,0,0,0,0,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
23C LMn,014,0.23,0.4,0.5,0,0,0,0,0,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
30C,015,0.27,0.45,0.7,0,0,0,0,0,0,0,0,0,0.038,0.032,0,0,0.13,0.12,0,0,0,0,0,0,0,0
30C Mn,016,0.3,0.35,1.4,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0.176,0.12,0,0,0,0,0,0,0,0
40C,017,0.4,0.4,0.85,0,0,0,0,0,0,0,0,0,0.038,0.032,0,0,0.13,0.12,0,0,0,0,0,0,0,0
35C,018,0.32,0.4,0.85,0,0,0,0,0,0,0,0,0,0.038,0.032,0,0,0.13,0.12,0,0,0,0,0,0,0,0
45C,019,0.45,0.4,0.8,0,0,0,0,0,0,0,0,0,0.03,0.025,0,0,0.176,0.12,0,0,0,0,0,0,0,0
55C,020,0.55,0.4,0.8,0,0,0,0,0,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
A6,021,0.28,0.35,1.35,0,0,0,0,0,0,0,0,0,0.03,0.025,0,0,0.176,0.12,0,0,0,0,0,0,0,0
1.5Mn.Mo,022,0.31,0.35,1.5,0,0,0,0,0.35,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
L1A Mod1,023,0.22,0.35,1.35,0,0,0,0,0,0,0,0,0.04,0.022,0.018,0,0,0.13,0.12,0,0,0,0,0,0,0,0
1E1076,024,0.29,0.6,0.95,0,0,0.6,0.55,0.33,0,0,0,0.035,0.036,0.024,0,0,0.13,0.12,0,0,0,0,0,0,0,0
86-40,025,0.42,0.35,0.85,0,0,0.55,0.65,0.2,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
ASF-B+,026,0.28,0.4,0.78,0,0,0.55,0,0,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
CT027,027,0.27,0.5,1,0,0,0.9,1.75,0.4,0,0,0,0.03,0.025,0.015,0,0,0.15,0.12,0,0,0,0,0,0,0,0
L2A Mod,028,0.48,0.5,0.8,0,0,1,0,0.3,0,0,0,0,0.044,0.05,0,0,0.13,0.12,0,0,0,0,0,0,0,0
L5D,029,0.23,0.5,0.6,0,0,3,0,0.5,0,0,0,0,0.038,0.032,0,0,0.13,0.12,0,0,0,0,0,0,0,0
Alloy 74,030,0.5,0.4,1.3,0,0,1,2,0.5,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
Boron,031,0.27,0.5,0.85,0,0,0.55,0,0.3,0,0,0,0.0035,0.038,0.032,0,0,0.13,0.12,0,0.02,0,0,0,0,0,0
CT032,032,0.27,1.5,0.9,0,0,2,0,0.3,0,0,0,0,0.02,0.02,0,0,0.1,0.12,0,0,0,0,0,0,0,0
Cr 40,033,0.4,0.4,0.9,0,0,0.5,0,0,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
CT034,034,0.22,1.15,0.85,0,0,1.75,1,0.35,0,0,0.025,0.025,0.015,0.015,0,0,0.13,0.12,0,0,0,0,0,0,0,0
2M37R,035,0.25,1.35,0.8,0,0,1.7,0.8,0.4,0,0,0,0.025,0.022,0.015,0,0,0.13,0.12,0,0,0,0,0,0,0,0
L2A,036,0.5,0.5,0.8,0,0,1,0,0,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
L2B,037,0.6,0.5,0.8,0,0,1.15,0,0.3,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
L2B8,038,0.8,0.4,0.8,0,0,1.9,0,0.3,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
L5E,039,0.14,0.4,0.55,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD3523,040,0.29,0.4,0.95,0,0,0.9,0.95,0.43,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
1E1257,041,0.26,0.4,1,0,0,0.5,0.5,0.2,0,0,0,0,0.03,0.02,0,0,0.176,0.12,0,0,0,0,0,0,0,0
LC Cr Mo,042,0.6,0.4,0.85,0,0,2.4,0,0.35,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
HC Cr Mo,043,0.85,0.4,0.8,0,0,2.2,0,0.35,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
NiMo,044,0.18,0.35,0.55,0,0,0,1.8,0.6,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
CT045,045,0.2,0.4,0.9,0,0,1.8,0.5,0.35,0,0,0,0.025,0.03,0.03,0,0,0.13,0.12,0,0,0,0,0,0,0,0
L6C Mod,046,0.29,0.35,1.25,0,0,0.45,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCC,047,0.2,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30Cr Mo,048,0.28,0.35,1,0,0,0.75,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5C,049,0.14,0.4,0.55,0,0,2.3,0,1.1,0,0,0,0,0.025,0.015,0,0,0.176,0.12,0,0,0,0,0,0,0,0
BA336,050,0.2,0.45,0.9,0,0,0.85,1.95,0.3,0,0,0,0,0.023,0.023,0,0,0.176,0.12,0,0,0,0,0,0,0,0
20C Cr Mo,051,0.16,0.35,0.65,0,0,1.25,0,0.55,0,0,0,0,0.03,0.025,0,0,0.176,0.12,0,0,0,0,0,0,0,0
CT052,052,0.25,0.5,1,0,0,1.85,0,0.4,0,0,0,0.02,0.02,0.02,0,0,0.1,0.12,0,0,0,0,0,0,0,0
3.5Nickel,053,0.19,0.4,0.5,0,0,0.8,3.5,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0
40Ni 2Cr Mo,054,0.38,0.3,0.8,0,0,0.85,1.95,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41-25,055,0.25,0.35,0.65,0,0,1,0,0.25,0,0,0,0,0.038,0.032,0,0,0.176,0.12,0,0,0,0,0,0,0,0
41-35,056,0.35,0.35,0.85,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41-40,057,0.4,0.35,0.85,0,0,1,0,0.2,0,0,0,0,0.03,0.03,0,0,0.176,0.12,0,0,0,0,0,0,0,0
41-40 SPEC,058,0.42,0.35,0.7,0,0,1.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41-50,059,0.5,0.4,0.85,0,0,1,0,0.25,0,0,0,0,0.03,0.03,0,0,0.176,0.12,0,0,0,0,0,0,0,0
NCM15,060,0.19,0.45,0.8,0,0,0.8,2,0.3,0,0,0.15,0.15,0.023,0.023,0,0,0.176,0.12,0,0,0,0,0,0,0,0
43-30,061,0.3,0.4,0.5,0,0,0.9,1.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43-30 M,062,0.3,0.4,0.8,0,0,0.9,1.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45C Cr,063,0.45,0.4,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Q,064,0.3,0.35,1.4,0,0,0.6,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-20,065,0.2,0.35,0.8,0,0,0.5,0.55,0.2,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
86-30,066,0.28,0.4,0.8,0,0,0.5,0.5,0.2,0,0,0,0,0.03,0.02,0,0,0.13,0.12,0,0,0,0,0,0,0,0
85Cr 2Mo,067,0.85,0.4,0.7,0,0,2.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT068,068,0.21,0.5,0.9,0,0,0.8,1.8,0.4,0,0,0,0,0.03,0.02,0,0,0.176,0.12,0,0,0,0,0,0,0,0
80C Cr,069,0.8,0.4,0.7,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70C Cr Mo,070,0.72,0.4,0.8,0,0,2.2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC-8630 Boron,071,0.33,0.35,0.85,0,0,0.65,0.6,0.3,0,0,0,0.005,0.044,0.036,0,0,0.13,0.2,0,0,0,0,0,0,0,0
7Cr,072,0.3,0.7,1.2,0,0,7,0,0,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
41-43,073,0.43,0.4,0.85,0,0,1.2,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2M37,074,0.24,1.35,0.8,0,0,1.75,0.85,0.45,0,0,0,0,0.03,0.025,0,0,0.13,0.12,0,0,0,0,0,0,0,0
SD3526,075,0.21,0.5,1,0,0,1.1,1.7,0.4,0,0,0,0,0.02,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
10Cr,076,0.23,0.7,1.7,0,0,10,0,0,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
BKM-E,077,0.27,0.4,0.9,0,0,0.55,0.4,0.3,0,0,0,0,0.03,0.03,0,0,0.176,0.12,0,0,0,0,0,0,0,0
BKM-I,078,0.29,0.4,0.9,0,0,0.6,0.47,0.3,0,0,0,0,0.027,0.027,0,0,0.192,0.12,0,0,0,0,0,0,0,0
CT079,079,0.2,0.4,1,0,0,0.8,0.9,0.5,0,0,0,0,0.03,0.03,0,0,0.176,0.12,0,0,0,0,0,0,0,0
1E1074,080,0.23,0.5,1.1,0,0,0.6,0.55,0.33,0,0,0,0,0.036,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
Auste,081,1.15,0.6,13,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste 2Cr,082,1.15,0.6,13.3,0,0,1.8,0,0,0,0,0,0,0,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste Spec.,083,1.1,0.5,14,0,0,0,0,0,0,0,0,0,0.044,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste Mo,084,1.1,0.5,14,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloy 14PH-7C,085,1.15,0.5,13.2,0,0,0,0,0.87,0,0,0,0,0.044,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste 12-2,086,1.15,0.5,13,0,0,0,0,1.95,0,0,0,0,0,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Alloy 14 RD2,087,1.15,0.5,12.5,0,0,0,0,0,0,0,0,0.045,0,0.036,0,0,0.176,0,0.1,0,0,0,0,0,0,0
13-1 Auste,088,1.17,0.55,13,0,0,0,0,1,0,0,0,0.04,0,0.036,0,0,0.176,0,0.064,0,0,0,0,0,0,0
CT089,089,1.17,0.55,13,0,0,0.65,0,0.7,0,0,0,0,0,0.036,0,0,0.176,0,0.064,0,0,0,0,0,0,0
Mn Grate Mod,090,1.17,0.5,13,0,0,1.9,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
